8.245,1651.596,205.69,-17.728,0,0.594,0.615
8.295,1661.858,204.805,-17.665,0,0.594,0.612
8.345,1672.076,203.924,-17.583,0,0.593,0.61
8.395,1682.251,203.047,-17.497,0,0.593,0.607
8.445,1692.381,202.174,-17.401,0,0.592,0.605
8.495,1702.468,201.306,-17.308,0,0.592,0.602
8.545,1712.512,200.444,-17.205,0,0.591,0.6
8.595,1722.513,199.586,-17.121,0,0.591,0.598
8.645,1732.47,198.731,-17.042,0,0.591,0.595
8.695,1742.386,197.881,-16.969,0,0.59,0.593
8.745,1752.259,197.034,-16.904,0,0.59,0.59
8.795,1762.089,196.19,-16.857,0,0.589,0.588
8.845,1771.878,195.349,-16.811,0,0.589,0.586
8.895,1781.624,194.509,-16.768,0,0.589,0.583
8.945,1791.329,193.672,-16.701,0,0.588,0.581
8.995,1800.991,192.839,-16.629,0,0.588,0.579
9.045,1810.613,192.01,-16.543,0,0.587,0.576
9.095,1820.193,191.184,-16.474,0,0.587,0.574
9.145,1829.731,190.363,-16.393,0,0.587,0.572
9.195,1839.229,189.545,-16.307,0,0.586,0.569
9.245,1848.686,188.732,-16.231,0,0.586,0.567
9.295,1858.102,187.922,-16.164,0,0.585,0.565
9.345,1867.478,187.115,-16.096,0,0.585,0.562
9.395,1876.814,186.312,-16.033,0,0.585,0.56
9.445,1886.109,185.512,-15.987,0,0.584,0.558
9.495,1895.365,184.713,-15.954,0,0.584,0.556
9.545,1904.581,183.917,-15.916,0,0.584,0.553
9.595,1913.757,183.122,-15.868,0,0.583,0.551
9.645,1922.893,182.33,-15.816,0,0.583,0.549
9.695,1931.99,181.541,-15.723,0,0.583,0.547
9.745,1941.047,180.757,-15.646,0,0.582,0.544
9.795,1950.065,179.977,-15.574,0,0.582,0.542
9.845,1959.045,179.2,-15.498,0,0.582,0.54
9.895,1967.985,178.426,-15.435,0,0.581,0.538
9.945,1976.888,177.656,-15.38,0,0.581,0.535
9.995,1985.751,176.888,-15.33,0,0.581,0.533
10.045,1994.576,176.123,-15.278,0,0.58,0.531
10.095,2003.363,175.36,-15.245,0,0.58,0.529
10.145,2012.112,174.599,-15.216,0,0.58,0.527
10.195,2020.823,173.839,-15.177,0,0.579,0.525
10.245,2029.496,173.081,-15.129,0,0.579,0.522
10.295,2038.132,172.326,-15.065,0,0.579,0.52
10.345,2046.729,171.575,-15,0,0.578,0.518
10.395,2055.289,170.826,-14.942,0,0.578,0.516
10.445,2063.812,170.08,-14.883,0,0.578,0.514
10.495,2072.297,169.338,-14.808,0,0.577,0.512
10.545,2080.746,168.599,-14.758,0,0.577,0.51
10.595,2089.157,167.863,-14.695,0,0.577,0.508
10.645,2097.532,167.129,-14.641,0,0.576,0.506
10.695,2105.87,166.398,-14.602,0,0.576,0.504
10.745,2114.172,165.669,-14.576,0,0.576,0.502
10.795,2122.437,164.941,-14.558,0,0.576,0.499
10.845,2130.666,164.213,-14.529,0,0.575,0.497
10.895,2138.858,163.488,-14.497,0,0.575,0.495
